condition,episode,episode_idx,save_idx,phase_target,phase_error,eef_z,path,action_key,action_dim,action_value
high,episode_000003,3,1,0.0,0.0,0.005950528071575936,debug_runs/20260529_112158_high/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,action_values.4,4,-7.58445930480957
high,episode_000003,3,1,0.0,0.0,0.005950528071575936,debug_runs/20260529_112158_high/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,action_values.5,5,42.59762191772461
high,episode_000004,4,1,0.0,0.0,0.008330541831449587,debug_runs/20260529_112158_high/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,action_values.0,0,-8.3889799118042
high,episode_000004,4,1,0.0,0.0,0.008330541831449587,debug_runs/20260529_112158_high/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,action_values.1,1,35.239044189453125
high,episode_000004,4,1,0.0,0.0,0.008330541831449587,debug_runs/20260529_112158_high/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,action_values.2,2,-15.253957748413086
high,episode_000004,4,1,0.0,0.0,0.008330541831449587,debug_runs/20260529_112158_high/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,action_values.3,3,-71.79366302490234
high,episode_000004,4,1,0.0,0.0,0.008330541831449587,debug_runs/20260529_112158_high/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,action_values.4,4,-6.798000335693359
high,episode_000004,4,1,0.0,0.0,0.008330541831449587,debug_runs/20260529_112158_high/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,action_values.5,5,40.342926025390625
high,episode_000005,5,1,0.0,0.0,0.006371517327557752,debug_runs/20260529_112158_high/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,action_values.0,0,-9.269270896911621
high,episode_000005,5,1,0.0,0.0,0.006371517327557752,debug_runs/20260529_112158_high/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,action_values.1,1,36.34192657470703
high,episode_000005,5,1,0.0,0.0,0.006371517327557752,debug_runs/20260529_112158_high/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,action_values.2,2,-12.963054656982422
high,episode_000005,5,1,0.0,0.0,0.006371517327557752,debug_runs/20260529_112158_high/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,action_values.3,3,-70.76200866699219
high,episode_000005,5,1,0.0,0.0,0.006371517327557752,debug_runs/20260529_112158_high/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,action_values.4,4,-7.371269226074219
high,episode_000005,5,1,0.0,0.0,0.006371517327557752,debug_runs/20260529_112158_high/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,action_values.5,5,45.31230163574219
high,episode_000006,6,1,0.0,0.0,0.007822462762910626,debug_runs/20260529_112158_high/episode_000006/debug_chunk_rawid_1_001_observation_frame.pt,action_values.0,0,-9.069780349731445
high,episode_000006,6,1,0.0,0.0,0.007822462762910626,debug_runs/20260529_112158_high/episode_000006/debug_chunk_rawid_1_001_observation_frame.pt,action_values.1,1,35.67497253417969
high,episode_000006,6,1,0.0,0.0,0.007822462762910626,debug_runs/20260529_112158_high/episode_000006/debug_chunk_rawid_1_001_observation_frame.pt,action_values.2,2,-13.932341575622559
high,episode_000006,6,1,0.0,0.0,0.007822462762910626,debug_runs/20260529_112158_high/episode_000006/debug_chunk_rawid_1_001_observation_frame.pt,action_values.3,3,-71.10912322998047
high,episode_000006,6,1,0.0,0.0,0.007822462762910626,debug_runs/20260529_112158_high/episode_000006/debug_chunk_rawid_1_001_observation_frame.pt,action_values.4,4,-7.175768852233887
high,episode_000006,6,1,0.0,0.0,0.007822462762910626,debug_runs/20260529_112158_high/episode_000006/debug_chunk_rawid_1_001_observation_frame.pt,action_values.5,5,47.516536712646484
high,episode_000007,7,1,0.0,0.0,0.008607450359543425,debug_runs/20260529_112158_high/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,action_values.0,0,-9.337166786193848
high,episode_000007,7,1,0.0,0.0,0.008607450359543425,debug_runs/20260529_112158_high/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,action_values.1,1,35.22022247314453
