condition,condition_root,episode,episode_idx,save_idx,raw_chunk_id,eef_z,path,filename,task,metadata_intervention,state_dim,num_action_dims,num_obs_dims,eef_z_start,eef_z_delta_from_start,eef_z_min,eef_z_max,eef_z_range,eef_z_norm_in_episode,peak_chunk,eef_height_phase
baseline,debug_runs/20260529_110106_baseline,episode_000006,6,4,4,0.025566550488377485,debug_runs/20260529_110106_baseline/episode_000006/debug_chunk_rawid_4_004_observation_frame.pt,debug_chunk_rawid_4_004_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.015904868558985513,0.009661681929391971,0.015904868558985513,0.05334765581516371,0.037442787256178195,0.25803853391811155,2,mid_height
baseline,debug_runs/20260529_110106_baseline,episode_000007,7,0,0,0.01599283851454715,debug_runs/20260529_110106_baseline/episode_000007/debug_chunk_rawid_0_000_observation_frame.pt,debug_chunk_rawid_0_000_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.01599283851454715,0.0,0.009312376923436574,0.07125529742435897,0.0619429205009224,0.1078486699866064,2,low_height
baseline,debug_runs/20260529_110106_baseline,episode_000007,7,1,1,0.009312376923436574,debug_runs/20260529_110106_baseline/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,debug_chunk_rawid_1_001_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.01599283851454715,-0.006680461591110576,0.009312376923436574,0.07125529742435897,0.0619429205009224,0.0,2,low_height
baseline,debug_runs/20260529_110106_baseline,episode_000007,7,2,2,0.07125529742435897,debug_runs/20260529_110106_baseline/episode_000007/debug_chunk_rawid_2_002_observation_frame.pt,debug_chunk_rawid_2_002_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.01599283851454715,0.055262458909811824,0.009312376923436574,0.07125529742435897,0.0619429205009224,1.0,2,near_peak
baseline,debug_runs/20260529_110106_baseline,episode_000007,7,3,3,0.04975359578022304,debug_runs/20260529_110106_baseline/episode_000007/debug_chunk_rawid_3_003_observation_frame.pt,debug_chunk_rawid_3_003_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.01599283851454715,0.033760757265675886,0.009312376923436574,0.07125529742435897,0.0619429205009224,0.6528787879186976,2,high_height
baseline,debug_runs/20260529_110106_baseline,episode_000007,7,4,4,0.01711225369668866,debug_runs/20260529_110106_baseline/episode_000007/debug_chunk_rawid_4_004_observation_frame.pt,debug_chunk_rawid_4_004_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.01599283851454715,0.0011194151821415088,0.009312376923436574,0.07125529742435897,0.0619429205009224,0.12592039106609343,2,low_height
baseline,debug_runs/20260529_110106_baseline,episode_000008,8,0,0,0.01599280916604104,debug_runs/20260529_110106_baseline/episode_000008/debug_chunk_rawid_0_000_observation_frame.pt,debug_chunk_rawid_0_000_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.01599280916604104,0.0,0.01599280916604104,0.059916553478630626,0.04392374431258959,0.0,2,low_height
baseline,debug_runs/20260529_110106_baseline,episode_000008,8,1,1,0.017729735182331008,debug_runs/20260529_110106_baseline/episode_000008/debug_chunk_rawid_1_001_observation_frame.pt,debug_chunk_rawid_1_001_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.01599280916604104,0.0017369260162899691,0.01599280916604104,0.059916553478630626,0.04392374431258959,0.03954412456116873,2,low_height
baseline,debug_runs/20260529_110106_baseline,episode_000008,8,2,2,0.059916553478630626,debug_runs/20260529_110106_baseline/episode_000008/debug_chunk_rawid_2_002_observation_frame.pt,debug_chunk_rawid_2_002_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.01599280916604104,0.04392374431258959,0.01599280916604104,0.059916553478630626,0.04392374431258959,1.0,2,near_peak
baseline,debug_runs/20260529_110106_baseline,episode_000008,8,3,3,0.04875592917029499,debug_runs/20260529_110106_baseline/episode_000008/debug_chunk_rawid_3_003_observation_frame.pt,debug_chunk_rawid_3_003_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.01599280916604104,0.03276312000425395,0.01599280916604104,0.059916553478630626,0.04392374431258959,0.7459090866910284,2,high_height
