condition,episode,episode_idx,save_idx,action_key,action_dim,action_value,path
baseline,episode_000003,3,3,action_values.2,2,-53.797237396240234,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000003,3,3,action_values.3,3,-94.7205581665039,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000003,3,3,action_values.4,4,12.31889533996582,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000003,3,3,action_values.5,5,29.715862274169922,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000003,3,4,action_values.0,0,-5.843407154083252,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000003,3,4,action_values.1,1,100.40960693359375,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000003,3,4,action_values.2,2,8.746871948242188,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000003,3,4,action_values.3,3,-93.2513656616211,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000003,3,4,action_values.4,4,-4.278482437133789,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000003,3,4,action_values.5,5,47.93797302246094,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000004,4,0,action_values.0,0,-12.913601875305176,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000004,4,0,action_values.1,1,101.33671569824219,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000004,4,0,action_values.2,2,7.993146896362305,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000004,4,0,action_values.3,3,-88.3154067993164,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000004,4,0,action_values.4,4,-9.04627513885498,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000004,4,0,action_values.5,5,48.518653869628906,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000004,4,1,action_values.0,0,-10.808329582214355,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000004,4,1,action_values.1,1,35.25501251220703,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000004,4,1,action_values.2,2,-14.668438911437988,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000004,4,1,action_values.3,3,-74.1552505493164,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000004,4,1,action_values.4,4,-8.302642822265625,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000004,4,1,action_values.5,5,47.44540023803711,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000004,4,2,action_values.0,0,-2.992719888687134,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000004,4,2,action_values.1,1,45.878807067871094,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000004,4,2,action_values.2,2,-47.66159439086914,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000004,4,2,action_values.3,3,-97.3636245727539,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000004,4,2,action_values.4,4,-2.7053425312042236,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000004,4,2,action_values.5,5,3.578155517578125,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000004,4,3,action_values.0,0,14.223358154296875,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000004,4,3,action_values.1,1,24.541305541992188,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000004,4,3,action_values.2,2,-52.05943298339844,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000004,4,3,action_values.3,3,-94.82734680175781,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000004,4,3,action_values.4,4,14.746068000793457,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000004,4,3,action_values.5,5,44.07122802734375,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000004,4,4,action_values.0,0,-6.673906326293945,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000004,4,4,action_values.1,1,100.4720458984375,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000004,4,4,action_values.2,2,16.878536224365234,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000004,4,4,action_values.3,3,-86.38082122802734,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000004,4,4,action_values.4,4,-4.745602607727051,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000004,4,4,action_values.5,5,48.8261833190918,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000005,5,0,action_values.0,0,-12.7886381149292,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000005,5,0,action_values.1,1,100.7618637084961,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_0_000_observation_frame.pt
