condition,episode,save_idx,phase_target,eef_z,path,nearest_condition,nearest_episode,nearest_save_idx,nearest_eef_z,nearest_path,obs_distance,action_distance,same_condition,obs_distance_rank_pct,action_distance_rank_pct,mismatch_score
low,episode_000008,3,0.75,0.04572199644859098,debug_runs/20260529_112911_low/episode_000008/debug_chunk_rawid_3_003_observation_frame.pt,baseline,episode_000006,3,0.04762016010329402,debug_runs/20260529_110106_baseline/episode_000006/debug_chunk_rawid_3_003_observation_frame.pt,38.70945358276367,0.9459730386734009,0,0.8333333333333334,0.94,0.15666666666666662
baseline,episode_000009,1,0.0,0.008293611572567763,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,baseline,episode_000007,1,0.009312376923436574,debug_runs/20260529_110106_baseline/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,22.129226684570312,0.08159411698579788,1,0.43,0.2633333333333333,0.1501
baseline,episode_000007,1,0.0,0.009312376923436574,debug_runs/20260529_110106_baseline/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,baseline,episode_000009,1,0.008293611572567763,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,22.129226684570312,0.08159411698579788,1,0.43,0.2633333333333333,0.1501
high,episode_000005,2,1.0,0.11005045183422023,debug_runs/20260529_112158_high/episode_000005/debug_chunk_rawid_2_002_observation_frame.pt,high,episode_000006,2,0.10936583204902864,debug_runs/20260529_112158_high/episode_000006/debug_chunk_rawid_2_002_observation_frame.pt,33.26387405395508,0.17488786578178406,1,0.7533333333333333,0.6,0.14800000000000002
high,episode_000006,3,0.75,0.08219546221564826,debug_runs/20260529_112158_high/episode_000006/debug_chunk_rawid_3_003_observation_frame.pt,high,episode_000005,3,0.0748396460311398,debug_runs/20260529_112158_high/episode_000005/debug_chunk_rawid_3_003_observation_frame.pt,33.74176788330078,0.19724386930465698,1,0.7733333333333333,0.6466666666666666,0.14657777777777778
high,episode_000005,0,0.25,0.015705094891312374,debug_runs/20260529_112158_high/episode_000005/debug_chunk_rawid_0_000_observation_frame.pt,high,episode_000007,0,0.015617716538413401,debug_runs/20260529_112158_high/episode_000007/debug_chunk_rawid_0_000_observation_frame.pt,11.108716011047363,0.03378680348396301,1,0.04666666666666667,0.15333333333333332,0.14617777777777777
low,episode_000007,0,0.0,0.01601673294158408,debug_runs/20260529_112911_low/episode_000007/debug_chunk_rawid_0_000_observation_frame.pt,low,episode_000005,0,0.016112919082529334,debug_runs/20260529_112911_low/episode_000005/debug_chunk_rawid_0_000_observation_frame.pt,17.375905990600586,0.04810003936290741,1,0.22,0.18666666666666668,0.1456
baseline,episode_000003,1,0.0,0.014162735585652161,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,baseline,episode_000005,1,0.012922036140476503,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,24.006580352783203,0.08261915296316147,1,0.4766666666666667,0.27666666666666667,0.14478888888888888
baseline,episode_000005,1,0.0,0.012922036140476503,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,baseline,episode_000003,1,0.014162735585652161,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,24.006580352783203,0.08261915296316147,1,0.4766666666666667,0.27666666666666667,0.14478888888888888
baseline,episode_000000,1,0.25,0.03197895790507366,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt,low,episode_000007,1,0.024740732204591526,debug_runs/20260529_112911_low/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,39.274497985839844,0.6424267292022705,0,0.8433333333333334,0.89,0.1394333333333333
low,episode_000007,1,0.25,0.024740732204591526,debug_runs/20260529_112911_low/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,baseline,episode_000000,1,0.03197895790507366,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt,39.274497985839844,0.6424267292022705,0,0.8433333333333334,0.89,0.1394333333333333
low,episode_000000,2,1.0,0.061227668286057586,debug_runs/20260529_112911_low/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,low,episode_000006,2,0.058801159247691276,debug_runs/20260529_112911_low/episode_000006/debug_chunk_rawid_2_002_observation_frame.pt,32.78712463378906,0.1442984640598297,1,0.7333333333333333,0.5133333333333333,0.13688888888888892
low,episode_000005,0,0.0,0.016112919082529334,debug_runs/20260529_112911_low/episode_000005/debug_chunk_rawid_0_000_observation_frame.pt,low,episode_000006,0,0.0163058147983154,debug_runs/20260529_112911_low/episode_000006/debug_chunk_rawid_0_000_observation_frame.pt,13.805277824401855,0.031204190105199814,1,0.11,0.14333333333333334,0.12756666666666666
low,episode_000006,0,0.0,0.0163058147983154,debug_runs/20260529_112911_low/episode_000006/debug_chunk_rawid_0_000_observation_frame.pt,low,episode_000005,0,0.016112919082529334,debug_runs/20260529_112911_low/episode_000005/debug_chunk_rawid_0_000_observation_frame.pt,13.805277824401855,0.031204190105199814,1,0.11,0.14333333333333334,0.12756666666666666
low,episode_000001,2,1.0,0.05561973423298172,debug_runs/20260529_112911_low/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,low,episode_000003,2,0.057893852772143664,debug_runs/20260529_112911_low/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,23.395191192626953,0.05159633606672287,1,0.4666666666666667,0.22666666666666666,0.12088888888888888
low,episode_000004,2,1.0,0.05953757334668602,debug_runs/20260529_112911_low/episode_000004/debug_chunk_rawid_2_002_observation_frame.pt,low,episode_000005,2,0.05669614900471827,debug_runs/20260529_112911_low/episode_000005/debug_chunk_rawid_2_002_observation_frame.pt,22.20166778564453,0.050119638442993164,1,0.44333333333333336,0.21,0.11689999999999999
low,episode_000005,2,1.0,0.05669614900471827,debug_runs/20260529_112911_low/episode_000005/debug_chunk_rawid_2_002_observation_frame.pt,low,episode_000004,2,0.05953757334668602,debug_runs/20260529_112911_low/episode_000004/debug_chunk_rawid_2_002_observation_frame.pt,22.20166778564453,0.050119638442993164,1,0.44333333333333336,0.21,0.11689999999999999
