episode_idx,video_path,found,cx,cy,area,fill_ratio,aspect,num_found_frames,reason
47,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-002.mp4,True,341.7198239953699,212.93878895857088,2196.25,0.9151041666666666,0.6666666666666666,4,
48,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-002.mp4,True,379.5460736487813,232.82335219595052,2186.75,0.8973930215840524,0.7093804792518994,4,
49,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-002.mp4,True,308.7307332421366,232.11571755091353,2133.0,0.875615763546798,0.7241379310344828,4,
50,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-002.mp4,True,313.78036167221296,218.38451803921066,2144.75,0.9019133725820017,0.6982758620689655,4,
51,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-002.mp4,True,339.6642876351238,218.38111393226473,2156.75,0.9122280377668308,0.6948275862068966,4,
52,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-002.mp4,True,335.41923284359154,216.3598595548134,2190.75,0.9057642309797482,0.6948275862068966,4,
53,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-002.mp4,True,366.4742967118633,217.8452610796711,2267.5,0.8821491919590067,0.7166666666666667,4,
54,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-002.mp4,True,361.277596127016,239.79010561415257,2186.0,0.8724939855653568,0.75,4,
55,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-002.mp4,True,360.9458135113847,212.63126307900936,2252.5,0.901441014258811,0.7142655367231638,4,
56,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-002.mp4,True,317.7418023353233,212.69283658308063,2164.0,0.9086634887005649,0.6779661016949152,4,
57,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-002.mp4,True,375.1291874310536,211.2975007075786,2241.25,0.8597295630725863,0.725,4,
58,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-002.mp4,True,333.4261579347001,242.74479321345183,2196.25,0.9039380081300813,0.675,4,
59,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-002.mp4,True,335.1741513438237,228.75421670512966,2184.0,0.9073958333333334,0.6666666666666666,4,
60,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-003.mp4,True,330.7044114200353,311.6116424557031,2223.75,0.9404761904761905,0.75,4,
61,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-003.mp4,True,325.32830901977377,298.293252413637,2192.75,0.910303776683087,0.7241379310344828,4,
62,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-003.mp4,True,353.34874035590747,316.07778238635024,1913.25,0.9058948863636364,0.9166666666666666,4,
63,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-003.mp4,True,361.4605513512106,294.0160809364072,2183.0,0.8853056860274182,0.7327586206896552,4,
64,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-003.mp4,True,376.1230219624873,315.700039092496,1951.75,0.9288589015151515,0.9166666666666666,4,
65,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-003.mp4,True,317.41648498368903,297.138115376937,2200.0,0.8227861952861952,0.7416666666666667,4,
66,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-003.mp4,True,370.6416263351326,290.0715159569848,2256.0,0.8952380952380953,0.7,4,
67,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-003.mp4,True,338.30560813148753,309.73148776354515,2279.5,0.893936877076412,0.7083333333333333,4,
68,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-003.mp4,True,321.1377818159516,319.9079657650256,1540.25,0.9104928017718715,1.0625,4,
