trial,is_decision_step,episode_idx,seq_pos,chunk_idx,source_path,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,task,lift_eef_z,predicted_action_eef_z
4,True,5,1,1,debug_runs/20260605_115612_Stable/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,-10.5499849319458,82.8707275390625,-1.2106342315673828,-89.30599975585938,-5.354683876037598,62.76313400268555,Put the red cube in the box.,0.09924362969374516,0.2550554470718906
5,True,5,1,1,debug_runs/20260605_115612_Stable/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,-10.5499849319458,82.8707275390625,-1.2106342315673828,-89.30599975585938,-5.354683876037598,62.76313400268555,Put the red cube in the box.,0.09924362969374516,0.2550554470718906
6,True,5,1,1,debug_runs/20260605_115612_Stable/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,-10.5499849319458,82.8707275390625,-1.2106342315673828,-89.30599975585938,-5.354683876037598,62.76313400268555,Put the red cube in the box.,0.09924362969374516,0.2550554470718906
7,True,5,1,1,debug_runs/20260605_115612_Stable/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,-10.5499849319458,82.8707275390625,-1.2106342315673828,-89.30599975585938,-5.354683876037598,62.76313400268555,Put the red cube in the box.,0.09924362969374516,0.2550554470718906
8,True,5,1,1,debug_runs/20260605_115612_Stable/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,-10.5499849319458,82.8707275390625,-1.2106342315673828,-89.30599975585938,-5.354683876037598,62.76313400268555,Put the red cube in the box.,0.09924362969374516,0.2550554470718906
9,True,5,1,1,debug_runs/20260605_115612_Stable/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,-10.5499849319458,82.8707275390625,-1.2106342315673828,-89.30599975585938,-5.354683876037598,62.76313400268555,Put the red cube in the box.,0.09924362969374516,0.2550554470718906
0,True,6,1,1,debug_runs/20260605_115612_Stable/episode_000006/debug_chunk_rawid_1_001_observation_frame.pt,-10.724502563476562,82.30182647705078,-2.327047348022461,-89.36553192138672,-4.567610740661621,60.4622802734375,Put the red cube in the box.,0.11445380298816726,0.256449886894318
1,True,6,1,1,debug_runs/20260605_115612_Stable/episode_000006/debug_chunk_rawid_1_001_observation_frame.pt,-10.724502563476562,82.30182647705078,-2.327047348022461,-89.36553192138672,-4.567610740661621,60.4622802734375,Put the red cube in the box.,0.11445380298816726,0.256449886894318
2,True,6,1,1,debug_runs/20260605_115612_Stable/episode_000006/debug_chunk_rawid_1_001_observation_frame.pt,-10.724502563476562,82.30182647705078,-2.327047348022461,-89.36553192138672,-4.567610740661621,60.4622802734375,Put the red cube in the box.,0.11445380298816726,0.256449886894318
3,True,6,1,1,debug_runs/20260605_115612_Stable/episode_000006/debug_chunk_rawid_1_001_observation_frame.pt,-10.724502563476562,82.30182647705078,-2.327047348022461,-89.36553192138672,-4.567610740661621,60.4622802734375,Put the red cube in the box.,0.11445380298816726,0.256449886894318
4,True,6,1,1,debug_runs/20260605_115612_Stable/episode_000006/debug_chunk_rawid_1_001_observation_frame.pt,-10.724502563476562,82.30182647705078,-2.327047348022461,-89.36553192138672,-4.567610740661621,60.4622802734375,Put the red cube in the box.,0.11445380298816726,0.256449886894318
5,True,6,1,1,debug_runs/20260605_115612_Stable/episode_000006/debug_chunk_rawid_1_001_observation_frame.pt,-10.724502563476562,82.30182647705078,-2.327047348022461,-89.36553192138672,-4.567610740661621,60.4622802734375,Put the red cube in the box.,0.11445380298816726,0.256449886894318
6,True,6,1,1,debug_runs/20260605_115612_Stable/episode_000006/debug_chunk_rawid_1_001_observation_frame.pt,-10.724502563476562,82.30182647705078,-2.327047348022461,-89.36553192138672,-4.567610740661621,60.4622802734375,Put the red cube in the box.,0.11445380298816726,0.256449886894318
7,True,6,1,1,debug_runs/20260605_115612_Stable/episode_000006/debug_chunk_rawid_1_001_observation_frame.pt,-10.724502563476562,82.30182647705078,-2.327047348022461,-89.36553192138672,-4.567610740661621,60.4622802734375,Put the red cube in the box.,0.11445380298816726,0.256449886894318
8,True,6,1,1,debug_runs/20260605_115612_Stable/episode_000006/debug_chunk_rawid_1_001_observation_frame.pt,-10.724502563476562,82.30182647705078,-2.327047348022461,-89.36553192138672,-4.567610740661621,60.4622802734375,Put the red cube in the box.,0.11445380298816726,0.256449886894318
9,True,6,1,1,debug_runs/20260605_115612_Stable/episode_000006/debug_chunk_rawid_1_001_observation_frame.pt,-10.724502563476562,82.30182647705078,-2.327047348022461,-89.36553192138672,-4.567610740661621,60.4622802734375,Put the red cube in the box.,0.11445380298816726,0.256449886894318
0,True,7,1,1,debug_runs/20260605_115612_Stable/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,-10.92094612121582,83.00907135009766,-1.3721427917480469,-89.20684814453125,-5.15262508392334,63.01387023925781,Put the red cube in the box.,0.11548998865589251,0.25543661897203607
1,True,7,1,1,debug_runs/20260605_115612_Stable/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,-10.92094612121582,83.00907135009766,-1.3721427917480469,-89.20684814453125,-5.15262508392334,63.01387023925781,Put the red cube in the box.,0.11548998865589251,0.25543661897203607
2,True,7,1,1,debug_runs/20260605_115612_Stable/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,-10.92094612121582,83.00907135009766,-1.3721427917480469,-89.20684814453125,-5.15262508392334,63.01387023925781,Put the red cube in the box.,0.11548998865589251,0.25543661897203607
3,True,7,1,1,debug_runs/20260605_115612_Stable/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,-10.92094612121582,83.00907135009766,-1.3721427917480469,-89.20684814453125,-5.15262508392334,63.01387023925781,Put the red cube in the box.,0.11548998865589251,0.25543661897203607
4,True,7,1,1,debug_runs/20260605_115612_Stable/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,-10.92094612121582,83.00907135009766,-1.3721427917480469,-89.20684814453125,-5.15262508392334,63.01387023925781,Put the red cube in the box.,0.11548998865589251,0.25543661897203607
5,True,7,1,1,debug_runs/20260605_115612_Stable/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,-10.92094612121582,83.00907135009766,-1.3721427917480469,-89.20684814453125,-5.15262508392334,63.01387023925781,Put the red cube in the box.,0.11548998865589251,0.25543661897203607
6,True,7,1,1,debug_runs/20260605_115612_Stable/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,-10.92094612121582,83.00907135009766,-1.3721427917480469,-89.20684814453125,-5.15262508392334,63.01387023925781,Put the red cube in the box.,0.11548998865589251,0.25543661897203607
7,True,7,1,1,debug_runs/20260605_115612_Stable/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,-10.92094612121582,83.00907135009766,-1.3721427917480469,-89.20684814453125,-5.15262508392334,63.01387023925781,Put the red cube in the box.,0.11548998865589251,0.25543661897203607
